bioma,mes,total_mes
Amazônia,Dezembro,148880
Amazônia,Janeiro,35105
Amazônia,Fevereiro,17993
Amazônia,Março,23688
Amazônia,Abril,14719
Amazônia,Maio,22160
Amazônia,Junho,62185
Amazônia,Julho,144139
Amazônia,Agosto,603120
Amazônia,Setembro,746346
Amazônia,Outubro,368478
Amazônia,Novembro,293536
Caatinga,Dezembro,59456
Caatinga,Janeiro,11538
Caatinga,Fevereiro,3346
Caatinga,Março,2903
Caatinga,Abril,1872
Caatinga,Maio,1928
Caatinga,Junho,2895
Caatinga,Julho,7262
Caatinga,Agosto,22598
Caatinga,Setembro,74672
Caatinga,Outubro,110069
Caatinga,Novembro,90249
Cerrado,Dezembro,31897
Cerrado,Janeiro,12561
Cerrado,Fevereiro,10187
Cerrado,Março,12568
Cerrado,Abril,17470
Cerrado,Maio,36699
Cerrado,Junho,86056
Cerrado,Julho,147755
Cerrado,Agosto,321841
Cerrado,Setembro,520015
Cerrado,Outubro,274093
Cerrado,Novembro,79470
Mata Atlântica,Dezembro,15448
Mata Atlântica,Janeiro,10174
Mata Atlântica,Fevereiro,9450
Mata Atlântica,Março,10695
Mata Atlântica,Abril,10945
Mata Atlântica,Maio,13385
Mata Atlântica,Junho,18213
Mata Atlântica,Julho,36318
Mata Atlântica,Agosto,92640
Mata Atlântica,Setembro,97492
Mata Atlântica,Outubro,67228
Mata Atlântica,Novembro,27810
Pampa,Dezembro,1904
Pampa,Janeiro,975
Pampa,Fevereiro,671
Pampa,Março,1228
Pampa,Abril,1669
Pampa,Maio,1692
Pampa,Junho,1498
Pampa,Julho,2865
Pampa,Agosto,5570
Pampa,Setembro,2835
Pampa,Outubro,1399
Pampa,Novembro,835
Pantanal,Dezembro,4500
Pantanal,Janeiro,2863
Pantanal,Fevereiro,1412
Pantanal,Março,1639
Pantanal,Abril,2171
Pantanal,Maio,2548
Pantanal,Junho,3719
Pantanal,Julho,10541
Pantanal,Agosto,36716
Pantanal,Setembro,48446
Pantanal,Outubro,23036
Pantanal,Novembro,9811